"gcm","scenario","proj.year","Tmax01","Tmax02","Tmax03","Tmax04","Tmax05","Tmax06","Tmax07","Tmax08","Tmax09","Tmax10","Tmax11","Tmax12","Tmin01","Tmin02","Tmin03","Tmin04","Tmin05","Tmin06","Tmin07","Tmin08","Tmin09","Tmin10","Tmin11","Tmin12","PPT01","PPT02","PPT03","PPT04","PPT05","PPT06","PPT07","PPT08","PPT09","PPT10","PPT11","PPT12","Tave01","Tave02","Tave03","Tave04","Tave05","Tave06","Tave07","Tave08","Tave09","Tave10","Tave11","Tave12","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Tave_wt","Tave_sp","Tave_sm","Tave_at"
"GISS-E2-1-G","ssp370",2061,2.47833333333333,2.40166666666667,2.69791666666667,2.44125,2.62666666666667,2.51083333333333,2.54333333333334,2.69458333333333,2.73458333333333,2.71291666666666,2.54458333333334,2.2025,2.29583333333333,2.345,2.75541666666667,2.71666666666667,2.6925,2.61333333333333,2.59791666666667,2.67291666666667,2.71166666666667,2.69458333333333,2.60208333333333,2.20208333333333,-0.0344334970638736,-0.103228341558317,-0.215874484207709,-0.0865109836853994,-0.477299786404041,-0.151443058178864,-0.250743254598604,-0.254393238937639,-0.144077298517867,0.00692396743399915,0.0136284403442533,-0.022398378695744,2.38666666666667,2.38291666666667,2.72916666666667,2.57708333333333,2.65875,2.575,2.56916666666667,2.6825,2.71791666666667,2.69791666666666,2.57291666666667,2.20458333333333,2.37208333333333,2.58125,2.58583333333333,2.65125,2.26583333333333,2.72041666666667,2.6275,2.66625,-0.0472537245995497,-0.30068129528605,-0.229388258782846,-0.0534977326854786,2.31916666666667,2.65958333333333,2.5975,2.67
"GISS-E2-1-G","ssp370",2081,3.01708333333333,3.37041666666666,3.40666666666667,3.37375,3.50291666666667,3.45958333333333,3.42833333333333,3.55208333333334,3.47708333333333,3.47041666666667,3.06458333333333,2.86,2.87833333333333,3.1,3.44666666666667,3.53041666666667,3.5575,3.47833333333333,3.35291666666667,3.45916666666667,3.49041666666666,3.40708333333334,3.05958333333333,2.77208333333333,-0.080026531708949,-0.263952693666027,-0.233743855643655,-0.180481706063273,-0.570869454012343,-0.400758392564872,-0.305585808577592,-0.415507618468639,-0.216668097797252,0.0425055008880859,0.0247946399882766,-0.0220465179459515,2.94666666666667,3.23416666666667,3.43416666666667,3.45458333333334,3.53375,3.4725,3.39166666666667,3.50625,3.47791666666667,3.44416666666666,3.04916666666667,2.81958333333333,3.08208333333333,3.43,3.47708333333333,3.33625,2.91958333333334,3.51666666666667,3.42625,3.3125,-0.0977915208849236,-0.37159799736385,-0.370591199207787,-0.0650343167048302,3.00041666666667,3.47083333333333,3.445,3.32875
"GISS-E2-1-G","ssp585",2001,0.458333333333332,0.446666666666665,0.384166666666665,0.3675,0.476666666666667,0.507083333333334,0.514583333333334,0.368333333333332,0.479583333333334,0.495416666666667,0.453333333333333,0.587500000000002,0.543333333333333,0.370000000000001,0.482916666666664,0.339166666666667,0.439999999999998,0.512083333333333,0.496666666666666,0.379166666666666,0.502916666666664,0.508333333333333,0.375833333333333,0.527083333333334,0.05049879376236,-0.0832327811638089,0.0603595272082691,0.00724485528581997,-0.0797170189013192,-0.00224600847774692,-0.0970505577818015,0.0494436409457482,-0.0627095726694611,0.0274719298217461,-0.0223271297739647,-0.0141959920439403,0.499166666666664,0.409166666666668,0.439166666666669,0.354583333333334,0.4575,0.51125,0.50416666666667,0.372500000000002,0.482916666666668,0.505416666666665,0.406666666666666,0.565833333333334,0.498333333333335,0.413749999999997,0.464583333333334,0.4725,0.470833333333335,0.419166666666666,0.460000000000001,0.456250000000001,-0.0050502146428979,-0.0184906642858227,-0.0150354308609657,-0.0199005167757438,0.489166666666666,0.413333333333334,0.458749999999998,0.470000000000002
"GISS-E2-1-G","ssp585",2021,0.794583333333332,0.990416666666665,0.952916666666667,1.1325,1.10541666666667,1.01583333333333,0.902083333333334,1.06208333333333,1.03958333333333,1.10166666666667,0.818333333333335,0.756250000000001,0.96458333333333,0.822500000000002,1.02166666666666,1.19666666666667,1.07625,1.10458333333333,0.962916666666665,1.03416666666667,1.12041666666667,1.07208333333334,0.884583333333332,0.815833333333334,0.109123250085059,-0.213970052083589,-0.0640253117017702,-0.187525310563964,-0.100230137324218,-0.0696860948253111,0.00125023409464653,-0.125001002209221,0.00619693222545603,-0.0306621874722284,0.102448018902939,0.0443678704516444,0.886666666666667,0.897916666666667,0.991666666666671,1.16083333333334,1.09125,1.06,0.935416666666669,1.04375,1.07291666666667,1.08166666666666,0.847916666666666,0.783333333333331,0.850833333333334,1.06125,0.987083333333334,0.97625,0.857083333333335,1.09291666666667,1.03375,1.0175,0.0116044711371233,-0.110285239696601,-0.0647649789384257,0.0120521392375625,0.852916666666669,1.08208333333333,1.005,0.998750000000001
"GISS-E2-1-G","ssp585",2041,1.68083333333333,1.74416666666666,1.91916666666667,1.995,2.12166666666667,1.96583333333334,1.86083333333334,2.02833333333333,2.05208333333333,1.95166666666666,1.86208333333333,1.87375,1.70958333333333,1.53,1.98666666666666,2.05666666666667,2.0725,2.03458333333333,1.88041666666667,1.97666666666667,2.01916666666667,1.94083333333333,1.87833333333333,1.84458333333334,0.0601796709567806,-0.204593345210485,-0.143600534051638,-0.279639817723608,-0.369237498999825,-0.118970827800227,-0.0698250881231788,-0.193514788039026,-0.117000585257292,0.0414898636028136,0.0188179654378517,-0.0228603262003757,1.69791666666666,1.63541666666667,1.94916666666667,2.02958333333333,2.0975,2.00375,1.87291666666667,1.99625,2.03291666666667,1.95291666666666,1.87291666666667,1.86333333333333,1.74333333333333,2.00875,1.94708333333333,1.95,1.67583333333334,2.03541666666667,1.96125,1.9425,-0.0236976403082165,-0.281536575369375,-0.129882460858887,-0.0279767254769876,1.70541666666667,2.02833333333333,1.94625,1.94625
"GISS-E2-1-G","ssp585",2061,2.81583333333333,3.09791666666667,2.94791666666666,3.2275,3.09666666666666,3.09333333333334,3.13708333333334,3.12583333333333,3.09958333333334,3.08541666666666,2.81833333333334,2.615,2.71083333333333,2.82875,3.09541666666667,3.25666666666667,3.07625,3.07458333333333,3.02291666666667,2.99291666666667,3.08791666666666,2.99208333333333,2.74083333333333,2.63083333333334,-0.0811765269110412,-0.283475369870581,-0.142474879532791,-0.480922491665825,-0.440385677472279,-0.426670409403313,-0.342524607094224,-0.263916157723593,-0.107493106112211,-0.0479665878757149,0.0128855534057637,0.101757224413319,2.76041666666666,2.95541666666667,3.01916666666667,3.23958333333333,3.0975,3.08625,3.08291666666667,3.05375,3.08291666666667,3.03791666666666,2.77291666666667,2.62458333333333,2.81833333333333,3.095,3.11583333333333,2.99875,2.71958333333334,3.14916666666667,3.03375,2.92875,-0.0414254855114784,-0.360053082126305,-0.32814411143228,-0.0603308209784625,2.77791666666667,3.11708333333333,3.06875,2.975
"GISS-E2-1-G","ssp585",2081,3.84333333333333,3.97166666666666,4.05291666666666,4.2275,4.15916666666666,4.13958333333334,4.05583333333334,4.18708333333333,4.17958333333333,3.95291666666667,3.88333333333334,3.6225,3.54958333333333,3.725,4.20416666666667,4.45291666666667,4.2325,4.16458333333333,3.97791666666667,4.02166666666667,4.11541666666666,3.83458333333333,3.70458333333333,3.40208333333333,-0.134983859594031,-0.305536100499742,-0.218422212205418,-0.416613010018462,-0.611417495314593,-0.445629451629489,-0.427983406099843,-0.343786538625877,-0.175261445874274,0.0174187018500165,-0.144031752572509,-0.0725257459513591,3.70041666666667,3.84541666666667,4.11916666666667,4.34333333333333,4.2025,4.155,4.01291666666667,4.105,4.14416666666667,3.89166666666667,3.79291666666667,3.51833333333333,3.79208333333333,4.15,4.12833333333333,4.00125,3.54958333333333,4.30166666666667,4.04625,3.8775,-0.130318921077909,-0.445311461175783,-0.397098241929303,-0.0931287447695421,3.67541666666667,4.23583333333334,4.08625,3.9475
"INM-CM5-0","ssp126",2001,0.360333333333333,0.264666666666667,0.270999999999997,0.126333333333335,0.252333333333336,0.230333333333334,0.637999999999998,0.333666666666666,0.353999999999999,0.112000000000002,0.0263333333333335,0.247,0.422999999999998,0.406666666666666,0.384333333333334,0.301333333333336,0.293999999999997,0.299333333333337,0.402000000000001,0.344666666666665,0.337,0.25,0.272666666666666,0.321666666666669,0.0112310146393604,0.0539088929365965,0.0329091443581069,0.0692748473099893,0.00181132547649376,-0.0377773592908248,-0.188534077250256,0.0414751134615114,-0.00688537432759784,0.0750397390835795,0.0361502106046796,-0.0312010605319104,0.393333333333334,0.333000000000002,0.331,0.209333333333333,0.267999999999997,0.264666666666667,0.525333333333336,0.336666666666666,0.345333333333333,0.190999999999999,0.154666666666667,0.279666666666667,0.292333333333335,0.215,0.404,0.171666666666667,0.366666666666667,0.329666666666665,0.350333333333335,0.290333333333333,0.00168318070092344,0.026556228193809,-0.0501589575981143,0.039135809457731,0.322333333333333,0.264000000000003,0.384,0.226333333333336
"INM-CM5-0","ssp126",2021,0.337333333333333,0.284666666666666,0.821999999999999,0.719333333333331,0.774333333333335,1.33733333333333,1.02,1.30366666666666,0.847999999999999,0.618000000000002,0.363333333333333,0.283999999999999,0.768999999999998,0.335666666666665,0.988333333333333,0.842333333333332,0.755999999999997,0.880333333333336,0.939,0.987666666666666,0.786999999999999,0.554000000000002,0.933666666666667,0.80466666666667,0.154072300545378,-0.052876215390226,-0.0718882650996582,0.0455024308516787,-0.065894854381451,-0.1068768166565,-0.07430815581123,-0.225006322026295,-0.0901975125439494,-0.0641531093842467,0.356540808489178,0.0339611194397573,0.554333333333332,0.313000000000002,0.897000000000002,0.774333333333335,0.763999999999999,1.10666666666667,0.989333333333335,1.14066666666667,0.817333333333334,0.602999999999998,0.650666666666666,0.559666666666665,0.295333333333335,0.780999999999999,1.224,0.610666666666667,0.624666666666666,0.857666666666667,0.931333333333335,0.759333333333334,0.0535802933669443,-0.0371331093489324,-0.134573344124365,0.0586944828069296,0.460333333333335,0.816000000000003,1.082,0.685333333333336
"INM-CM5-0","ssp126",2041,0.634333333333334,1.23666666666667,1.153,1.14433333333333,0.855333333333338,1.42333333333333,1.465,1.40866666666667,0.855,0.682000000000002,0.913333333333334,0.893000000000001,0.884,1.28766666666667,1.30433333333333,1.44033333333334,1.051,1.30833333333333,1.304,1.29166666666667,1.033,0.987000000000002,1.17466666666667,0.985666666666667,0.174927360491085,-0.0246961094280849,0.01643585808187,0.199659299692789,0.0617754332856419,-0.0131651372434707,-0.151720916691806,-0.137764700805818,0.0883458207922718,0.130886452031215,0.0224560169621748,-0.00649164470834318,0.743333333333332,1.276,1.231,1.29333333333333,0.962,1.34766666666667,1.39733333333334,1.34366666666667,0.942333333333334,0.843,1.04766666666667,0.936666666666667,0.919333333333334,1.072,1.425,0.812666666666665,1.00866666666667,1.26666666666667,1.30533333333333,1.07033333333333,0.043990722679303,0.089306566709153,-0.0890030801257877,0.0881002937527207,0.968333333333334,1.154,1.382,0.938333333333336
"INM-CM5-0","ssp126",2061,0.779333333333334,0.506666666666668,1.078,1.25933333333333,1.35533333333334,1.25833333333333,1.43,1.39866666666666,0.925000000000001,0.802,0.673333333333332,0.312999999999999,1.209,1.01266666666666,1.17433333333333,1.29033333333333,1.396,1.22333333333334,1.319,1.27166666666667,1.033,1.037,1.25966666666667,1.03066666666667,0.143772056486587,0.15724502393712,-0.0541448213637432,0.00510463174176135,0.0629672508180139,-0.0243757139111045,-0.085757654313448,-0.0385125449359993,0.0614533819269036,0.221085705223653,0.186362397367149,0.242986572802895,0.983333333333334,0.771000000000001,1.121,1.27333333333333,1.377,1.24266666666667,1.38233333333334,1.32866666666667,0.967333333333332,0.928000000000001,0.952666666666666,0.676666666666666,0.554333333333332,1.232,1.36,0.812666666666665,1.09866666666667,1.28166666666667,1.27533333333333,1.10033333333333,0.186998845580546,0.022977858352724,-0.0451319598247899,0.163422909302442,0.828333333333333,1.269,1.322,0.943333333333335
"INM-CM5-0","ssp126",2081,1.23433333333333,0.926666666666666,1.188,1.46933333333333,0.565333333333331,1.25833333333333,1.575,0.82866666666667,1.115,0.782,0.633333333333333,0.573,1.254,0.957666666666665,1.28433333333333,1.54033333333333,0.935999999999996,1.17833333333333,1.304,1.10166666666667,1.053,1.157,1.13966666666667,0.970666666666666,-0.109397991158215,0.0164906166979399,-0.0550906958712449,-0.00582856122403452,0.20618281225792,-0.0819459812084009,-0.125407140028518,0.172415994313726,-0.0673715180139922,0.208991804146057,0.199528584011447,0.0641103602735686,1.24833333333333,0.926000000000002,1.236,1.50833333333333,0.751999999999999,1.22766666666667,1.44733333333333,0.958666666666666,1.07233333333333,0.968,0.892666666666667,0.771666666666665,0.929333333333332,1.077,1.215,0.842666666666666,1.04866666666667,1.24666666666667,1.18033333333333,1.10033333333333,-0.0246222557563973,0.098464785959492,-0.00641442217835841,0.125919520648212,0.993333333333336,1.164,1.217,0.983333333333334
